episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish
71,1,-7.4921,-5.6369,0.266,196,479,0.704,55,0.00,1662,171.85,0,0
72,1,-4.2515,-5.5998,0.252,131,322,0.701,45,0.00,1676,115.23,0,0
73,1,-6.1069,-5.5831,0.356,281,780,0.697,75,0.00,1705,272.97,0,0
74,1,-5.5246,-5.6386,0.383,132,330,0.694,50,0.00,1719,123.63,0,0
75,1,-4.3010,-5.6683,0.434,513,1283,0.690,80,0.00,1771,460.17,0,0
76,1,-6.2473,-5.6859,0.319,453,1134,0.687,80,0.00,1817,389.48,0,0
77,1,-5.9531,-5.6958,0.330,349,897,0.683,75,0.00,1852,300.10,0,0
78,1,-7.5031,-5.7199,0.298,283,691,0.680,65,0.00,1881,239.83,0,0
79,1,-10.0793,-5.8482,0.312,589,1500,0.676,85,0.00,1940,508.51,0,0
80,1,-5.7794,-5.8493,0.303,139,343,0.673,50,0.00,1954,123.29,0,0
81,1,-8.1069,-5.8881,0.278,411,1074,0.670,80,0.00,1996,349.49,0,0
82,1,-5.3491,-5.7804,0.332,248,641,0.666,65,0.00,2021,218.47,0,0
83,1,-3.9216,-5.7938,0.371,248,627,0.663,65,0.00,2046,213.48,0,0
84,1,-5.5264,-5.7676,0.295,197,481,0.660,55,0.00,2066,176.53,0,0
85,1,-7.5488,-5.8455,0.307,470,1173,0.656,80,0.00,2113,401.44,0,0
86,1,-7.7898,-5.8403,0.288,398,994,0.653,75,0.00,2153,340.71,0,0
87,1,-5.9020,-5.8378,0.252,365,954,0.650,80,0.00,2190,322.23,0,0
88,1,-6.2221,-5.8872,0.256,467,1224,0.647,85,0.00,2237,402.91,0,0
89,1,-6.5004,-5.8857,0.255,417,1073,0.643,80,0.00,2279,351.40,0,0
90,1,-9.7529,-5.9449,0.238,434,1100,0.640,80,0.00,2323,377.62,0,0
91,1,-5.0872,-5.9364,0.292,332,884,0.637,75,0.00,2357,287.58,0,0
92,1,-3.6643,-5.9221,0.322,495,1296,0.634,85,0.00,2407,425.34,0,0
93,1,-6.1410,-5.8793,0.317,418,1081,0.631,80,0.00,2449,357.37,0,0
94,1,-5.3765,-5.7577,0.341,85,218,0.627,40,0.00,2458,79.19,0,0
95,1,-5.5340,-5.7789,0.213,97,233,0.624,40,0.00,2468,83.39,0,0
