episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish
71,1,0.3233,-4.9745,0.409,237,688,0.704,75,0.00,1635,205.69,0,0
72,1,-4.7405,-5.0165,0.336,99,267,0.701,45,0.00,1645,86.38,0,0
73,1,-0.4863,-4.9252,0.306,246,694,0.697,70,0.00,1670,221.58,0,0
74,1,-3.5291,-4.9029,0.306,256,718,0.694,75,0.00,1696,225.34,0,0
75,1,-4.4211,-4.8747,0.326,149,399,0.690,55,0.00,1711,130.57,0,0
76,1,-6.4953,-4.9042,0.299,266,733,0.687,70,0.00,1738,226.97,0,0
77,1,-1.3241,-4.8145,0.272,325,852,0.683,75,0.00,1771,287.47,0,0
78,1,-3.7793,-4.7719,0.272,204,605,0.680,70,0.00,1792,170.70,0,0
79,1,-4.4263,-4.6983,0.324,398,1027,0.676,80,0.00,1832,344.69,0,0
80,1,-4.8362,-4.7299,0.317,248,641,0.673,65,0.00,1857,221.10,0,0
81,1,-6.8565,-4.7692,0.375,141,343,0.670,50,0.00,1872,125.88,0,0
82,1,-4.7868,-4.7759,0.404,157,409,0.666,55,0.00,1888,135.90,0,0
83,1,-2.0309,-4.7422,0.276,297,875,0.663,80,0.00,1918,252.35,0,0
84,1,0.4971,-4.6064,0.511,296,796,0.660,75,0.00,1948,272.84,0,0
85,1,-4.8008,-4.5820,0.349,354,973,0.656,80,0.00,1984,301.54,0,0
86,1,-3.5358,-4.5621,0.408,204,538,0.653,60,0.00,2005,177.58,0,0
87,1,-3.2932,-4.4403,0.460,499,1408,0.650,90,0.00,2055,431.13,0,0
88,1,1.8439,-4.2530,0.453,232,663,0.647,70,0.00,2079,204.89,0,0
89,1,-6.0831,-4.2869,0.392,220,558,0.643,60,0.00,2101,189.08,0,0
90,1,-6.1168,-4.3798,0.410,258,703,0.640,70,0.00,2127,234.24,0,0
91,1,-4.0269,-4.3105,0.408,126,319,0.637,45,0.00,2140,112.92,0,0
92,1,-1.8840,-4.2840,0.265,216,619,0.634,70,0.00,2162,202.79,0,0
93,1,-5.0309,-4.3220,0.463,535,1486,0.631,90,0.00,2216,457.70,0,0
94,1,-4.0247,-4.2880,0.454,143,376,0.627,50,0.00,2231,128.79,0,0
95,1,-4.1852,-4.2354,0.386,190,485,0.624,60,0.00,2250,163.58,0,0
96,1,-4.4526,-4.3701,0.325,342,884,0.621,75,0.00,2285,304.64,0,0
97,1,-3.8311,-4.3397,0.370,213,592,0.618,65,0.00,2307,191.75,0,0
98,1,-5.1543,-4.2880,0.362,183,474,0.615,60,0.00,2326,165.23,0,0
99,1,-4.3194,-4.2613,0.253,145,355,0.612,50,0.00,2341,133.68,0,0
100,1,-3.5470,-4.2329,0.291,234,641,0.609,70,0.00,2365,201.19,0,0
101,1,-2.3444,-4.2093,0.293,210,526,0.606,60,0.00,2386,191.57,0,0
102,1,-1.2038,-4.0695,0.267,268,757,0.603,75,0.00,2413,250.28,0,0
103,1,-2.6575,-4.0215,0.258,219,543,0.600,60,0.00,2435,194.84,0,0
104,1,-5.0559,-4.0150,0.306,87,225,0.597,40,0.00,2444,77.59,0,0
105,1,-2.7477,-3.9297,0.257,691,1863,0.594,95,0.00,2514,590.82,0,0
106,1,-5.4903,-3.9285,0.296,284,719,0.591,70,0.00,2543,249.54,0,0
107,1,-6.3294,-3.9289,0.275,765,2013,0.588,95,0.00,2620,689.33,0,0
108,1,-0.2908,-3.8428,0.239,328,846,0.585,75,0.00,2653,298.24,0,0
109,1,-0.4657,-3.7611,0.439,190,540,0.582,65,0.00,2672,170.36,0,0
110,1,-2.5747,-3.7018,0.251,268,721,0.579,70,0.00,2699,238.45,0,0
111,1,-6.9412,-3.7675,0.249,272,745,0.576,70,0.00,2727,234.71,0,0
112,1,-2.7792,-3.7025,0.335,322,880,0.573,80,0.00,2760,318.87,0,0
113,1,-4.3718,-3.6851,0.273,132,338,0.570,50,0.00,2774,122.51,0,0
114,1,-7.7466,-3.7309,0.328,345,925,0.568,80,0.00,2809,304.15,0,0
115,1,-2.1113,-3.7221,0.340,371,994,0.565,80,0.00,2847,321.03,0,0
116,1,-4.2399,-3.7063,0.258,335,858,0.562,75,0.00,2881,309.93,0,0
117,1,-4.7035,-3.7389,0.287,120,296,0.559,45,0.00,2893,113.42,0,0
118,1,-4.4608,-3.6957,0.344,216,632,0.556,70,0.00,2915,192.96,0,0
119,1,0.1524,-3.5908,0.308,398,1051,0.554,80,0.00,2955,349.77,0,0
120,1,-5.1891,-3.6177,0.330,314,835,0.551,75,0.00,2987,291.83,0,0
121,1,-2.4510,-3.6732,0.353,331,892,0.548,75,0.00,3021,296.27,0,0
122,1,-4.4304,-3.6670,0.310,207,566,0.545,65,0.00,3042,183.79,0,0
123,1,-4.0496,-3.7382,0.327,400,1066,0.543,80,0.00,3082,343.68,0,0
124,1,-5.5020,-3.7777,0.398,334,869,0.540,75,0.00,3116,294.71,0,0
125,1,-2.6418,-3.7421,0.242,281,744,0.537,70,0.00,3145,253.31,0,0
126,1,-4.0419,-3.6930,0.292,343,878,0.534,75,0.00,3180,310.05,0,0
127,1,0.2315,-3.6619,0.254,275,755,0.532,75,0.00,3208,252.24,0,0
128,1,1.7006,-3.5523,0.345,359,947,0.529,80,0.00,3244,324.79,0,0
129,1,-2.2028,-3.5079,0.297,361,965,0.526,80,0.00,3281,389.08,0,0
130,1,-0.6830,-3.4248,0.342,400,1104,0.524,85,0.00,3321,402.12,0,0
131,1,-2.0192,-3.3281,0.293,151,444,0.521,60,0.00,3337,139.56,0,0
132,1,-4.9058,-3.3304,0.276,97,240,0.519,40,0.00,3347,85.33,0,0
133,1,-2.3599,-3.3370,0.302,368,1005,0.516,80,0.00,3384,313.50,0,0
134,1,-5.7866,-3.4627,0.350,334,886,0.513,75,0.00,3418,302.64,0,0
135,1,-5.1889,-3.4705,0.246,196,533,0.511,65,0.00,3438,171.67,0,0
136,1,-2.1060,-3.4419,0.240,250,703,0.508,70,0.00,3463,216.75,0,0
