episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish
1,1,-4.7923,-4.7923,0.000,172,416,1.000,15,0.00,18,357.62,0,0
2,1,-4.6122,-4.7022,0.000,164,411,0.995,15,0.00,35,324.34,0,0
3,1,-5.6841,-5.0295,0.000,98,236,0.990,10,0.00,45,190.24,0,0
4,1,-3.8040,-4.7231,0.000,150,377,0.985,15,0.00,60,375.08,0,0
5,1,-5.4223,-4.8630,1.546,107,272,0.980,10,0.00,71,488.57,0,0
6,1,-5.2318,-4.9245,1.554,96,236,0.975,10,0.00,81,348.92,0,0
7,1,-5.5041,-5.0073,1.714,112,283,0.970,15,0.00,93,437.68,0,0
8,1,-5.9507,-5.1252,1.783,86,209,0.966,10,0.00,102,307.88,0,0
9,1,-2.8569,-4.8732,1.836,126,353,0.961,15,0.00,115,478.41,0,0
10,1,-6.1640,-5.0022,1.967,87,214,0.956,10,0.00,124,311.21,0,0
11,1,-4.4776,-4.9545,1.407,351,922,0.951,30,0.00,160,1287.86,0,0
12,1,-7.1903,-5.1409,0.490,310,765,0.946,25,0.00,191,1278.98,0,0
13,1,-4.7322,-5.1094,0.515,250,622,0.942,25,0.00,216,1079.27,0,0
14,1,-7.1194,-5.2530,0.343,222,537,0.937,20,0.00,239,910.53,0,0
15,1,-7.4830,-5.4017,0.238,481,1214,0.932,35,0.00,288,1913.89,0,0
16,1,-9.7553,-5.6738,0.195,350,846,0.928,30,0.00,323,1350.52,0,0
17,1,-3.4887,-5.5452,0.208,347,884,0.923,30,0.00,358,1551.16,0,0
18,1,-6.6148,-5.6047,0.239,205,499,0.918,20,0.00,379,836.35,0,0
19,1,-5.8431,-5.6172,0.209,89,218,0.914,10,0.00,388,385.10,0,0
20,1,-6.2766,-5.6502,0.203,150,363,0.909,15,0.00,403,691.86,0,0
21,1,-5.8979,-5.6620,0.207,115,284,0.905,15,0.00,415,487.29,0,0
22,1,-6.2774,-5.6899,0.220,173,429,0.900,15,0.00,433,754.00,0,0
23,1,-3.0521,-5.5753,0.143,170,419,0.896,15,0.00,450,714.65,0,0
24,1,-3.0996,-5.4721,0.185,127,347,0.891,15,0.00,463,517.43,0,0
25,1,-3.6897,-5.4008,0.252,205,504,0.887,20,0.00,484,865.47,0,0
26,1,-6.3334,-5.4367,0.191,117,284,0.882,15,0.00,496,458.34,0,0
27,1,-3.8957,-5.3796,0.209,153,372,0.878,15,0.00,512,612.73,0,0
28,1,-5.5374,-5.3852,0.188,104,264,0.873,10,0.00,523,391.47,0,0
29,1,-3.8634,-5.3328,0.225,296,766,0.869,25,0.00,553,1203.94,0,0
30,1,-6.3267,-5.3659,0.177,99,240,0.865,10,0.00,563,377.10,0,0
31,1,-5.4483,-5.3686,0.151,123,310,0.860,15,0.00,576,488.80,0,0
32,1,-6.4207,-5.4014,0.211,300,741,0.856,25,0.00,606,1195.60,0,0
33,1,-5.9967,-5.4195,0.139,83,200,0.852,10,0.00,615,331.72,0,0
34,1,-5.7759,-5.4299,0.201,411,1046,0.848,35,0.00,657,1772.08,0,0
35,1,-4.6274,-5.4070,0.247,128,315,0.843,15,0.00,670,540.37,0,0
36,1,-8.1070,-5.4820,0.219,377,984,0.839,35,0.00,708,1575.48,0,0
37,1,-4.5049,-5.4556,0.299,327,809,0.835,30,0.00,741,1448.01,0,0
38,1,-4.3630,-5.4269,0.234,276,707,0.831,25,0.00,769,1230.80,0,0
39,1,-6.2963,-5.4492,0.286,175,425,0.827,15,0.00,787,779.41,0,0
40,1,-5.7974,-5.4579,0.312,320,876,0.822,30,0.00,819,1425.73,0,0
41,1,-3.2683,-5.4045,0.333,309,833,0.818,30,0.00,850,1387.75,0,0
42,1,-3.7402,-5.3648,0.292,258,716,0.814,25,0.00,876,1115.60,0,0
43,1,-4.8536,-5.3529,0.320,431,1171,0.810,35,0.00,920,1933.89,0,0
44,1,-4.2965,-5.3289,0.336,99,257,0.806,10,0.00,930,441.64,0,0
45,1,-0.6570,-5.2251,0.462,240,621,0.802,25,0.00,954,1110.86,0,0
46,1,-4.9858,-5.2199,0.372,98,239,0.798,10,0.00,964,438.35,0,0
47,1,-5.7074,-5.2303,0.452,328,822,0.794,30,0.00,997,1483.67,0,0
48,1,-5.0212,-5.2259,0.425,124,298,0.790,15,0.00,1010,547.90,0,0
49,1,-4.3455,-5.2080,0.336,221,555,0.786,20,0.00,1033,1003.07,0,0
50,1,-9.1361,-5.2865,0.425,429,1097,0.782,35,0.00,1076,1958.29,0,0
51,1,-2.8990,-5.2486,0.490,229,616,0.778,25,0.00,1099,1027.91,0,0
52,1,-5.9774,-5.2760,0.358,337,873,0.774,30,0.00,1133,1510.24,0,0
53,1,-2.0632,-5.2035,0.511,215,530,0.771,20,0.00,1155,940.24,0,0
54,1,-5.4597,-5.2366,0.320,305,877,0.767,30,0.00,1186,1309.46,0,0
55,1,-2.1466,-5.1711,0.355,324,825,0.763,30,0.00,1219,1423.14,0,0
56,1,-4.8941,-5.1644,0.348,119,295,0.759,15,0.00,1231,495.11,0,0
57,1,-7.0859,-5.1960,0.299,226,568,0.755,20,0.00,1254,1087.97,0,0
58,1,-3.7882,-5.1528,0.386,178,459,0.751,20,0.00,1272,815.36,0,0
59,1,-4.6292,-5.1882,0.320,449,1183,0.748,35,0.00,1317,1823.83,0,0
60,1,-6.3087,-5.1911,0.412,429,1059,0.744,35,0.00,1360,1772.94,0,0
61,1,-5.6764,-5.2151,0.466,94,227,0.740,10,0.00,1370,363.37,0,0
62,1,-4.7388,-5.1660,0.301,114,291,0.737,15,0.00,1382,437.08,0,0
63,1,-8.0943,-5.2333,0.360,359,912,0.733,30,0.00,1418,1413.27,0,0
64,1,-4.4061,-5.1790,0.368,294,855,0.729,30,0.00,1448,1127.39,0,0
65,1,-3.1704,-5.0928,0.367,173,477,0.726,20,0.00,1466,688.14,0,0
66,1,-0.5083,-4.9078,0.378,358,937,0.722,30,0.00,1502,1418.61,0,0
67,1,-7.6717,-4.9915,0.501,460,1198,0.718,35,0.00,1548,1733.71,0,0
68,1,-4.2029,-4.9433,0.467,257,717,0.715,25,0.00,1574,1010.27,0,0
69,1,-3.4264,-4.8949,0.272,236,675,0.711,25,0.00,1598,931.89,0,0
70,1,-4.3476,-4.8563,0.273,181,519,0.708,20,0.00,1617,718.42,0,0
71,1,-5.8254,-4.8549,0.440,282,745,0.704,25,0.00,1646,1167.41,0,0
72,1,-4.9350,-4.8280,0.464,208,552,0.701,20,0.00,1667,839.07,0,0
73,1,-10.9962,-4.9869,0.452,796,2032,0.697,50,0.00,1747,3012.86,0,0
74,1,-5.9886,-5.0447,0.303,309,830,0.694,30,0.00,1778,1207.49,0,0
75,1,-3.9962,-5.0508,0.234,159,445,0.690,20,0.00,1794,631.99,0,0
76,1,-4.7865,-5.0199,0.350,427,1076,0.687,35,0.00,1837,1740.04,0,0
77,1,-5.0003,-5.0420,0.359,319,852,0.683,30,0.00,1869,1219.90,0,0
78,1,-4.6806,-5.0249,0.274,120,298,0.680,15,0.00,1881,475.43,0,0
